,Title,details
134,Yeh Jawaani Hai Deewani,comedy drama musical ayanmukherjee ranbirkapoor deepikapadukone adityaroykapoor kalkikoechlin kabir naina bond trekking trip naina express herself kabir leaves india pursue career meet years later still cherishes dreams bonds 
135,Chennai Express,action comedy rohitshetty deepikapadukone shahrukhkhan sathyaraj nikitindheer man heading towards rameshwaram via chennai express immerse late grandfather ashes unwillingly gets caught amidst goons helping boss daughter board train 
136,Dhoom 3,action thriller vijaykrishnaacharya aamirkhan katrinakaif abhishekbachchan udaychopra sahir circus entertainer trained magic acrobatics turns thief take corrupt bank chicago ruined father indian officers jai ali called catch him 
137,A Good Day to Die Hard,action thriller johnmoore brucewillis jaicourtney sebastiankoch maryelizabethwinstead john mcclane travels russia help seemingly wayward son jack discover jack cia operative working undercover causing father son team underworld forces 
138,Race 2,action crime thriller abbasalibhaiburmawalla mastanalibhaiburmawalla saifalikhan anilkapoor johnabraham deepikapadukone ranvir treads world indian mafia turkey looks avenge death lover partner crime 
139,Krrish 3,action sci fi rakeshroshan hrithikroshan vivekoberoi priyankachopra kanganaranaut krrish scientist father save world family evil man named kaal gang mutants led ruthless kaya 
140,Vicky Donor,comedy romance shoojitsircar ayushmannkhurrana yamigautam annukapoor dollyahluwalia man brought infertility doctor supply sperm becomes biggest sperm donor clinic 
141,OMG: Oh My God!,comedy drama fantasy umeshshukla pareshrawal akshaykumar mithunchakraborty maheshmanjrekar shopkeeper takes god court shop destroyed earthquake 
142,Eega,action comedy fantasy s rajamouli v sathyanarayana sudeep nani samantharuthprabhu hamsanandini murdered man reincarnated housefly seeks avenge death 
143,Thuppakki,action thriller r murugadoss josephvijay kajalaggarwal vidyutjammwal sathyan army captain mission track destroy terrorist gang deactivate sleeper cells command 
144,English Vinglish,comedy drama family gaurishinde sridevi adilhussain mehdinebbou priyaanand quiet sweet tempered housewife endures small slights well educated husband daughter every day inability speak understand english 
145,Shahid,biography drama hansalmehta rajkummarrao mohammedzeeshanayyub baljinderkaur tigmanshudhulia account human rights lawyer shahid azmi ordinary citizen extraordinary commitment justice 
146,Jab Tak Hai Jaan,drama romance yashchopra shahrukhkhan katrinakaif anushkasharma anupamkher woman made realize prayers sacrifice save boyfriend life may led fate worse death 
147,Student of the Year,comedy drama romance karanjohar aliabhatt sidharthmalhotra varundhawan rishikapoor several alumni reminisce final year st theresa college events shaped lives 
148,Cocktail,comedy drama romance homiadajania saifalikhan deepikapadukone dianapenty dimplekapadia love triangle guy two girls best friends complete opposite one another 
149,Dabangg 2,action comedy arbaazkhan salmankhan sonakshisinha prakashraj vinodkhanna chulbul pandey invites fresh trouble kills brother notorious politician former swears wreak havoc life 
150,Barfi!,comedy drama romance anuragbasu ranbirkapoor priyankachopra ileanad cruz saurabhshukla three young people learn love neither defined contained society definition normal abnormal 
151,Rowdy Rathore,action prabhudeva akshaykumar sonakshisinha nassar yashpalsharma con man uncovers deadly secret must save lady love small town locals little girl insists daughter mob 
152,Ek Tha Tiger,action romance thriller kabirkhan salmankhan katrinakaif girishkarnad roshanseth india top spy tiger love zoya battle dark world intelligence espionage forbids soldiers loving enemy 
153,Housefull 2,action comedy musical sajidkhan akshaykumar johnabraham asinthottumkal jacquelinefernandez comedy errors wherein four men help fool prospective father in laws creating cascade confusion mayhem 
154,Gangs of Wasseypur,action comedy crime anuragkashyap manojbajpayee richachadha nawazuddinsiddiqui tigmanshudhulia clash sultan shahid khan leads expulsion khan wasseypur ignites deadly blood feud spanning three generations 
155,Agneepath,action drama karanmalhotra hrithikroshan priyankachopra sanjaydutt rishikapoor young boy father lynched eyes fifteen years later returns home revenge 
156,Kahaani,mystery thriller sujoyghosh vidyabalan parambratachattopadhyay indraneilsengupta nawazuddinsiddiqui pregnant woman search missing husband takes london kolkata everyone questions denies ever met him 
157,Talaash,crime drama mystery reemakagti aamirkhan kareenakapoor ranimukerji nawazuddinsiddiqui inspector surjan shekhawat dealing depressing past investigate high profile murder case deal crumbling marriage use help solace prostitute name rosie 
158,Paan Singh Tomar,action biography crime tigmanshudhulia irrfankhan hemendradandotiya navneetgairola mahiegill story paan singh tomar indian athlete seven time national steeplechase champion becomes one feared dacoits chambal valley retirement 
159,The Avengers,action adventure sci fi josswhedon robertdowneyjr chrisevans scarlettjohansson jeremyrenner earth mightiest heroes must come together learn fight team going stop mischievous loki alien army enslaving humanity 
160,Life of Pi,adventure drama fantasy anglee surajsharma irrfankhan adilhussain tabu young man survives disaster sea hurtled epic journey adventure discovery cast away forms unexpected connection another survivor fearsome bengal tiger 
161,Desi Boyz,comedy drama rohitdhawan akshaykumar johnabraham deepikapadukone chitrangdasingh two friends lose jobs part bitterly get exposed male strippers 
162,Singham,action drama rohitshetty ajaydevgn kajalaggarwal prakashraj sonalikulkarni truly honest police officer transferred town controlled gangster humiliated gangster believes use good power bring officer made look foolish weak 
163,Delhi Belly,action comedy crime abhinaydeo akshatverma imrankhan virdas kunaalroykapur shenaztreasury three struggling room mates unknowingly become potential prey ruthless gangster 
164,Pyaar Ka Punchnama,comedy drama romance luvranjan kartikaaryan raayos bakhirta divyendusharma nushratbharucha falling love three room mates experience changes lives 
165,Rockstar,drama music musical imtiazali ranbirkapoor nargisfakhri shammikapoor kumudmishra janardhan jakhar chases dreams becoming big rock star falls love heer 
166,No One Killed Jessica,biography crime drama rajkumargupta ranimukerji vidyabalan myrakarn neilbhoopalam journalist activist teams sister murdered model gets interested case wants bring justice case 
167,Bodyguard,action comedy romance siddique salmankhan kareenakapoor rajbabbar hazelkeech daughter wealthy nobleman secretly falls love bodyguard 
